Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.9099999999999999,0.01,0.43960125517011606
75% Corpus,9,0.9099999999999999,0.31,0.4267842708884851
75% Corpus,9,0.9099999999999999,0.61,0.49957128459747135
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.40988530052629046
75% Corpus,9,0.9099999999999999,symmetric,0.40952391322616194
75% Corpus,9,symmetric,0.01,0.44299319159735323
75% Corpus,9,symmetric,0.31,0.4768946950655237
75% Corpus,9,symmetric,0.61,0.4857243058850133
75% Corpus,9,symmetric,0.9099999999999999,0.41154140595343736
75% Corpus,9,symmetric,symmetric,0.4138740397492574
75% Corpus,9,asymmetric,0.01,0.4198047242819894
75% Corpus,9,asymmetric,0.31,0.45259630043576266
75% Corpus,9,asymmetric,0.61,0.4956701328518193
75% Corpus,9,asymmetric,0.9099999999999999,0.3933857697428163
75% Corpus,9,asymmetric,symmetric,0.3965722172631551
75% Corpus,10,0.01,0.01,0.44001805930067805
75% Corpus,10,0.01,0.31,0.4494865472844861
75% Corpus,10,0.01,0.61,0.5079860485757305
75% Corpus,10,0.01,0.9099999999999999,0.41072530468559015
75% Corpus,10,0.01,symmetric,0.43416674874244665
75% Corpus,10,0.31,0.01,0.44009745528038585
75% Corpus,10,0.31,0.31,0.45178447529163845
75% Corpus,10,0.31,0.61,0.5016880367235864
75% Corpus,10,0.31,0.9099999999999999,0.43212184153795247
75% Corpus,10,0.31,symmetric,0.43229310433351137
75% Corpus,10,0.61,0.01,0.44828920575765635
75% Corpus,10,0.61,0.31,0.4529539373804391
75% Corpus,10,0.61,0.61,0.45939463910476597
75% Corpus,10,0.61,0.9099999999999999,0.394446236290716
75% Corpus,10,0.61,symmetric,0.4266633250153107
75% Corpus,10,0.9099999999999999,0.01,0.44978758176365885
75% Corpus,10,0.9099999999999999,0.31,0.4424537967185403
75% Corpus,10,0.9099999999999999,0.61,0.4559622187272179
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.35600126014774436
75% Corpus,10,0.9099999999999999,symmetric,0.4235065733497865
75% Corpus,10,symmetric,0.01,0.4398490105635885
75% Corpus,10,symmetric,0.31,0.45915204946026356
75% Corpus,10,symmetric,0.61,0.5044040312091302
75% Corpus,10,symmetric,0.9099999999999999,0.4142307837581356
75% Corpus,10,symmetric,symmetric,0.42832197763756674
75% Corpus,10,asymmetric,0.01,0.425275059810552
75% Corpus,10,asymmetric,0.31,0.4466267540920704
75% Corpus,10,asymmetric,0.61,0.4900850840184344
75% Corpus,10,asymmetric,0.9099999999999999,0.4648713650937024
75% Corpus,10,asymmetric,symmetric,0.42374371188011883
100% Corpus,6,0.01,0.01,0.4393952536933636
100% Corpus,6,0.01,0.31,0.4359637053488439
100% Corpus,6,0.01,0.61,0.4594877083655963
100% Corpus,6,0.01,0.9099999999999999,0.46434127074398085
100% Corpus,6,0.01,symmetric,0.43505641729780115
100% Corpus,6,0.31,0.01,0.4365899262665988
100% Corpus,6,0.31,0.31,0.4388554907496756
100% Corpus,6,0.31,0.61,0.4499637507247076
100% Corpus,6,0.31,0.9099999999999999,0.4811608696186427
100% Corpus,6,0.31,symmetric,0.435713808460032
100% Corpus,6,0.61,0.01,0.4365899262665988
100% Corpus,6,0.61,0.31,0.4434948869886917
100% Corpus,6,0.61,0.61,0.4490720713312282
100% Corpus,6,0.61,0.9099999999999999,0.49702771190120937
100% Corpus,6,0.61,symmetric,0.4359329203481323
100% Corpus,6,0.9099999999999999,0.01,0.43954475710761615
100% Corpus,6,0.9099999999999999,0.31,0.4475226828290489
100% Corpus,6,0.9099999999999999,0.61,0.4523772579961036
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.49702771190120937
100% Corpus,6,0.9099999999999999,symmetric,0.4496766183328575
100% Corpus,6,symmetric,0.01,0.4384347442890462
100% Corpus,6,symmetric,0.31,0.4388554907496756
100% Corpus,6,symmetric,0.61,0.45318845856225715
100% Corpus,6,symmetric,0.9099999999999999,0.479774209243482
100% Corpus,6,symmetric,symmetric,0.4378607618651346
100% Corpus,6,asymmetric,0.01,0.43715979561032503
100% Corpus,6,asymmetric,0.31,0.45330640734471067
100% Corpus,6,asymmetric,0.61,0.47118835648470087
100% Corpus,6,asymmetric,0.9099999999999999,0.469789161623126
100% Corpus,6,asymmetric,symmetric,0.4485932627584626
100% Corpus,7,0.01,0.01,0.47991740989869613
100% Corpus,7,0.01,0.31,0.48072559982302093
100% Corpus,7,0.01,0.61,0.5137816604736586
100% Corpus,7,0.01,0.9099999999999999,0.4902147747995782
100% Corpus,7,0.01,symmetric,0.47761330097439114
100% Corpus,7,0.31,0.01,0.4807557086714063
100% Corpus,7,0.31,0.31,0.4807255998230208
100% Corpus,7,0.31,0.61,0.5130139539244555
100% Corpus,7,0.31,0.9099999999999999,0.5033117446230413
100% Corpus,7,0.31,symmetric,0.47655443833496364
100% Corpus,7,0.61,0.01,0.472786752441381
100% Corpus,7,0.61,0.31,0.4811128150445349
100% Corpus,7,0.61,0.61,0.5117192926441562
100% Corpus,7,0.61,0.9099999999999999,0.5017073985050582
100% Corpus,7,0.61,symmetric,0.47292256539791877
100% Corpus,7,0.9099999999999999,0.01,0.47357294554573226
100% Corpus,7,0.9099999999999999,0.31,0.4769170522471571
100% Corpus,7,0.9099999999999999,0.61,0.5040973988623176
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5190741844837324
100% Corpus,7,0.9099999999999999,symmetric,0.47505226045455595
100% Corpus,7,symmetric,0.01,0.47803350401551825
100% Corpus,7,symmetric,0.31,0.48072559982302093
100% Corpus,7,symmetric,0.61,0.5137816604736587
100% Corpus,7,symmetric,0.9099999999999999,0.49013180091281944
100% Corpus,7,symmetric,symmetric,0.47761330097439114
100% Corpus,7,asymmetric,0.01,0.4807557086714063
100% Corpus,7,asymmetric,0.31,0.46628650788745196
100% Corpus,7,asymmetric,0.61,0.5023373189229525
100% Corpus,7,asymmetric,0.9099999999999999,0.5165314211601284
100% Corpus,7,asymmetric,symmetric,0.4886299077566019
100% Corpus,8,0.01,0.01,0.43095422812742856
100% Corpus,8,0.01,0.31,0.45631408157771336
100% Corpus,8,0.01,0.61,0.44767437896928186
100% Corpus,8,0.01,0.9099999999999999,0.47721473627968386
100% Corpus,8,0.01,symmetric,0.44305232550907314
100% Corpus,8,0.31,0.01,0.4347185768229969
100% Corpus,8,0.31,0.31,0.45705669459047493
100% Corpus,8,0.31,0.61,0.4556893637020122
100% Corpus,8,0.31,0.9099999999999999,0.4823091501840441
100% Corpus,8,0.31,symmetric,0.4482692681252936
100% Corpus,8,0.61,0.01,0.4584745134752033
100% Corpus,8,0.61,0.31,0.45516654010166224
100% Corpus,8,0.61,0.61,0.4416772488416951
100% Corpus,8,0.61,0.9099999999999999,0.48595440370182647
100% Corpus,8,0.61,symmetric,0.44724598377667935
100% Corpus,8,0.9099999999999999,0.01,0.45851028499319335
100% Corpus,8,0.9099999999999999,0.31,0.45448156517276306
100% Corpus,8,0.9099999999999999,0.61,0.443763407184325
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.49765679896960935
100% Corpus,8,0.9099999999999999,symmetric,0.45757040334336263
100% Corpus,8,symmetric,0.01,0.43163953356515283
100% Corpus,8,symmetric,0.31,0.45705669459047493
100% Corpus,8,symmetric,0.61,0.4506307846146379
100% Corpus,8,symmetric,0.9099999999999999,0.48149572125143125
100% Corpus,8,symmetric,symmetric,0.4427857713247753
100% Corpus,8,asymmetric,0.01,0.4287909114982077
100% Corpus,8,asymmetric,0.31,0.45586554050434214
100% Corpus,8,asymmetric,0.61,0.448763520588225
100% Corpus,8,asymmetric,0.9099999999999999,0.4316961616557276
100% Corpus,8,asymmetric,symmetric,0.4395297270672011
100% Corpus,9,0.01,0.01,0.4496357889470898
100% Corpus,9,0.01,0.31,0.46703360258039367
100% Corpus,9,0.01,0.61,0.4514874493847677
100% Corpus,9,0.01,0.9099999999999999,0.4309368516227333
100% Corpus,9,0.01,symmetric,0.4545248712845896
100% Corpus,9,0.31,0.01,0.4501329729812438
100% Corpus,9,0.31,0.31,0.4768997423293225
100% Corpus,9,0.31,0.61,0.4526430637707038
100% Corpus,9,0.31,0.9099999999999999,0.4273606775916712
100% Corpus,9,0.31,symmetric,0.4631639128865095
100% Corpus,9,0.61,0.01,0.4564162021952291
100% Corpus,9,0.61,0.31,0.4822428479947292
100% Corpus,9,0.61,0.61,0.4631299686469191
100% Corpus,9,0.61,0.9099999999999999,0.4695258691705288
100% Corpus,9,0.61,symmetric,0.45921417968562356
100% Corpus,9,0.9099999999999999,0.01,0.456887581169261
100% Corpus,9,0.9099999999999999,0.31,0.4840295738570487
100% Corpus,9,0.9099999999999999,0.61,0.4520063613677615
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.47476694718469736
100% Corpus,9,0.9099999999999999,symmetric,0.4589852928071514
100% Corpus,9,symmetric,0.01,0.4503118395141863
